PERMNO,date,TICKER,PRC,VOL
14593,20180406,AAPL,168.38000,35003572
14593,20180409,AAPL,170.05000,29014717
14593,20180410,AAPL,173.25000,28611623
14593,20180411,AAPL,172.44000,22429342
14593,20180412,AAPL,174.14000,22888185
14593,20180413,AAPL,174.73000,25123155
14593,20180416,AAPL,175.82001,21577221
14593,20180417,AAPL,178.24001,26601346
14593,20180418,AAPL,177.84000,20744500
14593,20180419,AAPL,172.80000,34813413
14593,20180420,AAPL,165.72000,65469524
14593,20180423,AAPL,165.24001,36519781
14593,20180424,AAPL,162.94000,33673170
14593,20180425,AAPL,163.64999,28371967
14593,20180426,AAPL,164.22000,27953349
14593,20180427,AAPL,162.32001,35629102
14593,20180430,AAPL,165.25999,42410864
14593,20180501,AAPL,169.10001,53548117
14593,20180502,AAPL,176.57001,66541423
14593,20180503,AAPL,176.89000,34064280
14593,20180504,AAPL,183.83000,56354772
14593,20180507,AAPL,185.16000,42445840
14593,20180508,AAPL,186.05000,28400477
14593,20180509,AAPL,187.36000,23203941
14593,20180510,AAPL,190.03999,27979989
14593,20180511,AAPL,188.59000,26309043
14593,20180514,AAPL,188.14999,20773210
14593,20180515,AAPL,186.44000,23693162
14593,20180516,AAPL,188.17999,19174964
14593,20180517,AAPL,186.99001,17359080
14593,20180518,AAPL,186.31000,18293237
14593,20180521,AAPL,187.63000,18398394
14593,20180522,AAPL,187.16000,15235329
14593,20180523,AAPL,188.36000,20053515
14593,20180524,AAPL,188.14999,23224785
14593,20180525,AAPL,188.58000,17456889
14593,20180529,AAPL,187.89999,22512657
14593,20180530,AAPL,187.50000,18688085
14593,20180531,AAPL,186.87000,27468415
14593,20180601,AAPL,190.24001,23437212
14593,20180604,AAPL,191.83000,26261274
14593,20180605,AAPL,193.31000,21558401
14593,20180606,AAPL,193.98000,21127619
14593,20180607,AAPL,193.46001,21345867
14593,20180608,AAPL,191.70000,26651199
14593,20180611,AAPL,191.23000,18306460
14593,20180612,AAPL,192.28000,16881792
14593,20180613,AAPL,190.70000,21626572
14593,20180614,AAPL,190.80000,21604514
14593,20180615,AAPL,188.84000,61962552
14593,20180618,AAPL,188.74001,18481820
14593,20180619,AAPL,185.69000,33566039
14593,20180620,AAPL,186.50000,20623324
14593,20180621,AAPL,185.46001,25652398
14593,20180622,AAPL,184.92000,27185747
14593,20180625,AAPL,182.17000,31651394
14593,20180626,AAPL,184.42999,24530516
14593,20180627,AAPL,184.16000,25214403
14593,20180628,AAPL,185.50000,17346693
14593,20180629,AAPL,185.11000,22597450
14593,20180702,AAPL,187.17999,17612113
14593,20180703,AAPL,183.92000,13909764
14593,20180705,AAPL,185.39999,16592763
14593,20180706,AAPL,187.97000,17474674
14593,20180709,AAPL,190.58000,19740573
14593,20180710,AAPL,190.35001,15875755
14593,20180711,AAPL,187.88000,18819021
14593,20180712,AAPL,191.03000,18031040
14593,20180713,AAPL,191.33000,12487376
14593,20180716,AAPL,190.91000,15030858
14593,20180717,AAPL,191.45000,15501546
14593,20180718,AAPL,190.39999,16369281
14593,20180719,AAPL,191.88000,20261772
14593,20180720,AAPL,191.44000,20363954
14593,20180723,AAPL,191.61000,15978214
